municipio,populacaoAtendida,produzida,tratada,consumido
230690,32672,2374.75,2301.74,1347.43
230700,13642,1180.98,1180.98,818.29
230710,NA,NA,NA,NA
230720,3296,225.93,0,136.4
230730,222131,19786.14,0,9646.43
230740,18566,1514,1114,914
230750,14855,1086.53,1045.66,679.93
230760,57593,5280.04,5036.5,4593.96
230763,NA,NA,NA,NA
230770,71863,4629.36,4629.36,3124.8
230800,19333,1372,1372,944.72
230810,15001,1286.24,0,645.94
230820,3440,175.13,175.13,123.99
230830,9145,453.5,0,309.68
230835,NA,NA,NA,NA
230837,5754,298.89,298.89,204.68
230840,11897,1049.05,0,576.93
230850,14586,934.08,934.08,550.4
230860,8472,335.21,335.21,278.34
230870,58000,2960,2900,2487
230900,8510,413.74,413.74,248.48
230910,3464,103.53,103.53,95.03
230920,8965,648.22,0,396.98
230930,NA,NA,NA,NA
230940,10520,680.77,680.77,442.04
230945,4874,273.4,273.4,258.53
230950,12541,831.53,831.53,654.69
230960,40004,1631.1,1631.1,1627.9
230980,3671,82.21,57.72,72.21
230990,3397,202.52,202.52,150.94
231000,3326,346.7,346.7,221.33
231010,3953,84.23,0,81.22
231030,11153,479.8,479.8,309.13
231040,5539,255.52,255.52,194.34
231050,18513,706,706,688
231060,5679,462.52,0,264.33
231070,18670,1139.16,1139.16,852
231080,4400,226.32,226.32,201.01
231090,4812,248.62,248.62,205.07
231095,2217,210.86,210.86,89.8
231100,5413,362.74,0,263.38
231110,5178,412.64,0,231.71
231120,5088,258.55,258.55,167.75
231123,2352,126.16,126.16,86.88
231126,4526,213.75,213.75,166.75
231130,48651,3768.43,3768.43,2158.01
231135,6390,394,370,256
231140,53915,2927.05,2009.09,1725.61
231150,5090,380.93,380.93,294.9
231160,12029,939.65,939.65,690.42
231170,7131,469.83,469.83,291.92
231180,39333,2697.52,2697.52,1951.7
231190,4348,330.8,330.8,207.34
231195,1039,6.01,0,0
231200,12013,565.85,565.85,431.14
231210,4706,449.94,31.5,226.97
231220,18574,1094.87,1094.87,837.44
231230,19937,826.82,789.15,826.82
231250,NA,NA,NA,NA
231270,10984,926.51,926.51,450.84
231290,199260,17869.51,17869.51,11176.41
231300,18060,604.47,402.45,499.01
231310,15973,1749.45,1749.45,948.42
231320,9719,467.9,467.9,363.28
231325,2621,140.17,0,96.09
231330,28663,1533.51,1533.51,904.34
231335,4732,156.47,156.47,115.19
231340,41019,3834.04,3834.04,1876.8
231360,13026,976.52,976.52,612.01
231370,2451,101.79,0,90.85
231375,9374,633.64,633.64,424.13
231380,12312,1149.51,1149.51,544.81
231395,11492,489.48,442.18,488.92
231400,21501,1156.47,1156.47,818.18
240010,9151,317.03,317.03,199.86
240020,42364,3734.17,3734.17,1686.66
240030,5475,344.62,0,185.13
240040,2055,111.68,111.68,70.44
240050,13512,526.04,0,526.04
240060,3499,224.93,224.93,138.17
240070,9966,996.66,996.66,441.51
240080,10507,821.06,821.06,505.1
240090,2879,0,0,0
240100,18584,2657.13,0,968.35
240110,21955,1476.56,0,1081.54
240130,5232,267.93,267.93,188.38
240145,17132,1130.87,0,708.77
240150,3861,390.34,390.34,127.64
240160,2277,530.96,0,108.95
240165,1367,143.81,143.81,70.25
240170,7387,1445.29,0,411.99
240180,8925,824.44,824.44,505.26
240185,4788,420.58,0,154.2
240190,2845,236.37,236.37,175.12
240200,61630,3267.64,3267.64,2377.26
240210,5651,214.07,0,177.39
240230,14514,1291.66,0,641.07
240240,5227,0,0,0
240250,3167,519.33,519.33,119.48
240270,5807,358.11,358.11,265.36
240280,2350,88.22,0,74.37
240290,1700,86.48,86.48,63.82
240300,6682,549.56,549.56,248.2
240310,37929,1161.34,1161.34,923.09
240320,3756,102.5,102.5,91.81
240330,2464,223.03,223.03,145.86
240340,4707,192.64,192.64,148.38
240370,3470,626.91,0,119.46
240375,2635,213.36,0,161.2
240380,7114,304.25,304.25,246.36
240390,1667,132.95,132.95,64.15
240400,2809,183.46,183.46,77.53
240410,NA,NA,NA,NA
240430,6092,428.12,0,223.67
240440,7642,670.99,0,371.63
240450,9239,464.62,464.62,351.36
240460,1869,263.02,0,69.08
240470,3842,364.68,0,133.3
240480,2020,113.45,113.45,84.36
240485,NA,NA,NA,NA
240490,5161,494.87,494.87,178.11
240500,3938,153.72,0,119.05
240510,3340,185.27,0,109.61
240520,4101,136.12,136.12,116.22
240530,3518,355.27,0,211.71
240540,3937,193.38,0,139.38
240550,1432,81.92,81.92,47.18
240560,11276,703.4,703.4,299.01
240570,10192,539.05,539.05,309.64
240580,25385,2452.22,0,1012.1
240590,972,0,0,0
240600,3651,211.55,211.55,130.06
240610,11341,614.15,614.15,448.43
240620,4307,273.81,0,153.5
240630,4203,245.79,0,138.88
240640,2765,298.04,298.04,106.84
240650,7586,521.52,521.52,480.24
240660,5387,233.47,0,213.43
240670,8840,512.49,512.49,332.21
240680,2489,115.69,0,81.03
240690,2416,241.01,241.01,83.38
240700,6625,0,0,0
240710,41001,3908.38,0,1466.44
240720,23797,2180.83,2180.83,885.15
240725,NA,NA,NA,NA
240730,5058,295.99,295.99,223.53
240740,5340,389.15,389.15,217.68
240760,2482,107.17,107.17,40.3
240780,18547,1013.51,0,605.83
240790,1821,116.71,0,56.24
240800,263279,25453.2,5062.95,10985.17
240830,26784,1354.58,1354.58,1056.57
240840,3026,204.46,0,112.48
240850,3377,124.02,0,109.44
240860,2874,116.15,116.15,53.89
240870,3424,158.64,158.64,108.91
240880,3556,280.61,0,105.79
240890,18032,1101.78,1101.78,672.46
240910,7724,364.7,0,251.7
240920,1265,105.11,105.11,58.03
240930,417,124.08,124.08,14.88
240933,3444,179.88,179.88,126.28
240940,27622,1518.65,1518.65,974.89
240950,1341,377.29,0,70.03
240960,982,62.98,62.98,62.39
240970,4056,293.13,293.13,175.08
240990,10168,1101.75,1056.87,460.03
241000,2759,76.18,76.18,23.17
241010,13013,1199.19,0,410.22
241020,4101,278,278,154.04
241025,2010,116.11,0,70.52
241030,9150,500.69,0,313.38
241040,3429,727.23,727.23,126.45
241050,2841,106.1,106.1,68.73
241060,2028,167.44,167.44,167.44
241070,1987,140.79,140.79,62.83
241080,1451,33.38,0,16.86
241090,4837,437.19,437.19,214.26
241100,3843,247.93,123.96,138.3
241105,3090,577.94,0,205.22
241110,1776,142.86,142.86,92.32
241120,33163,2050,1970,1862
241140,6804,379.67,379.67,271.3
241142,1626,76.64,76.64,48.73
241150,14616,1105.67,0,402.66
241160,2384,242.44,0,81.88
241170,2083,123.34,0,76.61
241180,2423,131.89,131.89,98.87
241190,3176,106.16,0,85.59
241210,4994,458.8,458.8,219.95
241230,11025,655.82,0,310.46
241240,2972,109.9,0,87.33
241250,15231,0,0,0
241255,1042,76.88,0,27.46
241260,13124,895.62,895.62,536.95
241270,3483,347.41,347.41,147.45
241280,5733,616.17,616.17,194.46
241290,6787,574.72,574.72,275.71
241300,5185,192.15,192.15,187.12
241310,5590,385.65,0,195.31
241330,3342,425.45,0,117.96
241335,607,356.68,0,8.63
241340,6503,341.1,340.1,278.1
241350,3918,43.04,0,164.6
241355,2540,145.74,145.74,113.42
241360,3893,718.67,57.48,186.1
241370,2698,135.02,0,97.17
241380,1804,118.06,59.03,72.23
241390,7956,691.21,0,283.04
241400,11951,927.37,0,523.78
241410,7691,42.2,42.2,22.65
241415,4658,408.99,408.99,206.95
241430,1821,108.6,108.6,58.01
241440,2463,230.91,0,75.33
241445,2894,230.9,230.9,93.78
241450,9219,693.25,693.25,321.32
241460,7050,365.35,0,334.07
241470,4784,183.27,183.27,163.27
241475,1293,88.18,88.18,59.26
241480,12015,899.45,0,475.23
241490,1632,93.39,93.39,65.81
250010,4476,251.4,238.83,138.27
250020,3358,184.77,175.53,120.66
250053,5425,0,0,215
250057,NA,0,0,0
250070,NA,0,0,0
250073,1498,78.53,74.6,62.78
250077,4806,323.18,307.02,173.46
250090,10429,285.62,0,237.6
250100,11057,143.44,136.27,126.87
250115,953,38.66,36.73,29.68
250120,NA,0,0,0
250130,NA,0,0,0
250135,NA,NA,NA,NA
250150,5266,76.67,72.84,51.41
250153,NA,NA,NA,NA
250157,891,102.07,96.96,35.38
250160,9491,411.34,390.77,283.95
250170,NA,0,0,0
250200,5130,277.75,263.86,151.18
250205,NA,0,0,0
250210,4357,140.13,0,74.94
250215,4861,248.06,235.66,175.2
250220,1811,111.11,105.55,62.62
250230,2158,78.61,64.94,71.03
250240,9026,514.73,489,248.28
250250,11319,857.77,814.88,359.53
250260,4829,454.73,431.99,131.35
250280,10100,574.46,556.23,388.72
250290,5097,205.45,195.18,154.37
250310,2463,166.65,158.32,83.27
250330,3981,176.62,167.78,111.5
250340,1869,118.57,112.64,56.52
250350,10615,159.22,151.26,99.33
250355,NA,0,0,0
250360,5860,204.89,194.65,99.77
250370,61431,3394.71,3125.42,2055.01
250375,1513,83.23,79.07,53.14
250390,4292,257.77,244.89,141.21
250400,405072,23442.3,22270.19,15434.99
250407,1918,86.79,82.45,55.83
250410,NA,0,0,0
250415,3210,96.3,0,76.97
250420,3358,245.8,233.51,95.09
250430,22542,1465.58,1452.36,837.96
250435,1891,131.79,125.2,71.98
250440,13106,815.46,804.32,434.98
250450,6181,342.32,325.21,197.07
250470,4314,300.11,285.11,140.66
250480,NA,NA,NA,NA
250485,1040,67.56,64.18,36.74
250500,5682,242.88,230.74,172.87
250510,NA,0,0,0
250530,NA,NA,NA,NA
250535,NA,0,0,0
250540,NA,0,0,0
250550,2900,197.04,0,81.98
250560,4491,117.61,0,68.08
250570,NA,0,0,0
250590,2346,118.89,112.95,56.98
250600,20481,116.41,24.2,99.74
250610,6067,348.59,331.16,199.16
250620,2144,115.51,0,76.4
250625,NA,0,0,0
250650,2282,88.8,84.36,75.31
250660,4083,310.2,294.69,140.01
250670,4887,158.24,150.33,134.77
250680,12808,618.69,587.76,466.05
250690,18119,1799.45,1560.83,797.78
250700,18267,1036.07,1015.8,545.07
250720,6008,277.43,263.56,190.44
250740,4129,169.91,161.41,141.16
250770,8442,507.93,482.53,373.04
250780,NA,NA,NA,NA
250800,5075,263.65,250.47,151.51
250810,2380,83.46,79.29,69.09
250830,11461,635.68,603.9,358.58
250840,1614,52.18,49.57,47.45
250850,4238,162.25,154.13,132.62
250855,2061,73.21,69.55,35.12
250870,3030,461.24,0,439.12
250880,5481,349.31,331.85,160.35
250900,7797,355.77,337.98,222.67
250915,5665,3579.63,3579.63,3472.69
250920,4230,263.17,250.01,130.44
250937,798,38.76,23.76,27.95
250939,4805,136.2,129.39,88.04
250940,2871,415.77,394.99,104.4
250950,NA,0,0,0
250960,3421,115.88,110.08,96.32
250970,24337,1106.93,1051.59,872.53
250990,3447,136.5,129.68,102.59
251000,NA,104.45,99.23,86.26
251010,NA,0,0,0
251020,3841,258.32,245.41,116.71
251030,NA,0,0,0
251040,4483,316.5,300.67,154.93
251050,2369,110.65,105.12,64.16
251060,2063,107.21,101.85,61.5
251065,924,33.35,31.68,29.96
251070,2115,76.66,52.02,71.68
251080,106314,6660.19,6589.38,4058.52
251090,4678,571.69,543.11,145.91
251100,2550,700,500,500
251110,3709,177.54,168.66,116.3
251130,12190,666,632.7,369.2
251140,13705,731.11,694.56,422.58
251200,NA,222.95,211.8,56.91
251203,796,36.49,34.67,23.04
251207,3953,99.73,49.14,73.87
251210,32051,2397.49,2385.49,1371.77
251220,2748,138.72,131.78,84.32
251230,17405,360.4,342.38,260.1
251240,4947,56.15,45.18,48.2
251250,30488,1198.69,1138.76,883.97
251260,978,55.02,52.27,30.16
251270,NA,0,0,0
251274,NA,0,0,0
251275,2228,120.66,114.63,62.4
251278,NA,0,0,0
251280,NA,0,0,0
251300,1305,79.21,19.2,69.68
251310,4283,378.37,359.45,164.65
251315,NA,NA,NA,NA
251320,4176,145.39,115.1,118.23
251330,3252,179.11,170.16,98.74
251335,1450,95,0,80
251340,14197,683.53,668.45,490.77
251350,2902,179.22,170.26,90.65
251360,4129,283.81,269.62,133.46
251365,880,32.66,21.53,23.23
251380,3188,182.19,173.08,94.97
251385,NA,NA,NA,NA
251390,28382,1822.02,1758.56,931.23
251392,3356,212.05,208.26,91.21
251394,1751,76.93,73.08,58.02
251396,NA,NA,NA,NA
251398,1578,46.12,30.51,39.42
251400,3624,162.78,154.64,111.02
251410,NA,NA,NA,NA
251420,3360,144.3,137.09,96.34
251430,3161,130.87,0,102.61
251440,2074,147.69,140.31,67.36
251450,16001,917.22,871.36,487.24
251455,NA,NA,NA,NA
251460,2057,93.38,88.71,64.25
251465,1318,33.3,12.64,24.3
251470,3375,129.6,123.12,102.26
251480,2487,117.9,112.01,82.19
251490,7232,548.06,520.66,248.45
251510,5425,238.24,226.33,152.83
251520,2500,157,0,127
251540,4412,215.66,204.88,124.94
251550,10630,522.62,496.49,425.08
251570,2539,109.21,103.75,78.51
251600,18844,436.76,319.18,348.23
