municipio,populacaoAtendida,produzida,tratada,consumido
280190,3861,551.88,551.88,233.27
280220,5385,673.82,673.82,209.12
280230,14689,965.79,965.79,446.41
280240,10421,967.79,917.84,362.16
280260,5767,551.88,551.88,250.12
280310,4923,832.35,832.35,243.03
280370,5760,348,348,183.75
280420,12572,1793.61,1793.61,472.98
280445,8724,689.85,689.85,385.88
280450,35129,3725.19,3725.19,1455.41
280460,24208,1673.16,1635.77,674.39
280470,6246,965.79,965.79,237.82
280500,3139,206.95,206.95,109.55
280520,5424,394.2,394.2,162.12
280540,18346,2759.4,2759.4,630.39
280550,20069,1201.52,0,626.89
280560,27942,3311.28,3204.88,888.75
280570,28135,3845.98,3845.98,1079.97
280600,16400,1155,0,531.96
280700,2971,275.94,275.94,93.55
280710,28171,2645.46,2645.46,882.64
280730,3113,528.65,528.65,120.08
280740,40134,2628,2597.37,1426.02
290010,NA,NA,NA,NA
290020,12855,634.06,634.06,439.08
290035,10107,0,0,351.93
290040,8123,360.8,0,238.28
290050,4633,235,119,141
290100,32742,1262.72,1262.72,1068.56
290115,13822,645.83,645.83,402.75
290120,6350,313.23,313.23,225.94
290130,8580,366.71,366.71,248.09
290135,9908,0,0,286.6
290150,8236,372.42,372.42,195.54
290160,10872,438.83,0,309.39
290170,4979,174.48,174.48,153.92
290180,9127,341.67,341.67,278.47
290200,5902,244.89,244.89,189.96
290210,26781,952.17,0,764.85
290260,12765,646.74,646.74,388.57
290265,5684,238.88,0,152.84
290270,NA,NA,NA,NA
290280,18982,803.85,303.85,688.19
290290,29022,1100.84,1100.84,1115.78
290300,11336,501.35,501.35,342.27
290323,6393,216.72,216.72,194.44
290327,11441,0,0,335.61
290350,6777,0,0,154.64
290360,7002,733.64,0,581.51
290370,9110,403.56,403.56,292.66
290380,13333,408.69,408.69,358.26
290390,69526,4080,4080,2183
290395,4340,185.53,185.53,135.07
290400,5619,211.66,0,181.73
290405,6921,221.78,221.78,180.19
290410,NA,NA,NA,NA
290420,5916,284.22,284.22,265.53
290430,13803,577.58,577.58,354.16
290440,2983,130.95,130.95,103.95
290450,4033,143.5,114.67,131.7
290460,61083,3330.88,3330.88,2539
290475,NA,NA,NA,NA
290480,7142,230.31,230.31,168.95
290485,9126,297.89,297.89,255.94
290500,19306,927.15,927.15,684.27
290510,4596,58.82,58.82,37.47
290515,3940,133.42,133.42,97.69
290520,38201,1501.34,1426.4,1220.86
290530,12016,536.03,536.03,320.18
290550,8217,432.11,432.11,355.85
290590,8650,420,0,250
290600,31833,1237.21,1237.21,859.91
290620,18827,900.12,900.12,563.91
290640,4651,232.47,232.47,112.95
290660,10771,530.75,530.75,380.93
290670,16524,738.26,738.26,532.14
290680,26650,1626.22,0,1004.77
290682,11000,535.83,82.3,349.47
290685,9161,449.96,449.96,449.1
290687,29346,1331.76,1331.76,1168.91
290689,3431,151.96,151.96,127.95
290710,22975,1955,1915,1915
290720,55000,4283.54,3994.71,3691.12
290730,22849,1063.96,1063.96,683.16
290755,5737,266.68,266.68,176.61
290760,14614,742.63,742.63,498.43
290770,7452,342.51,342.51,224.08
290780,24355,3201.37,0,2872
290790,13169,609.7,0,467.4
290810,NA,NA,NA,NA
290840,53481,57.01,57.01,1626.06
290870,9152,412.91,412.91,303.3
290880,3011,147.54,147.54,95.37
290900,4956,211.76,211.76,146.87
290910,14210,1478,478,810
290920,10989,452.71,0,307.35
290950,3279,134.52,134.52,92.56
290960,9306,354.22,0,285.93
290990,30291,2864.23,2564.23,805.43
291010,NA,NA,NA,NA
291030,3751,145.52,145.52,124.08
291040,6196,242.7,242.7,184.21
291070,44731,1760.48,0,1507.16
291075,16647,785.03,0,996
291077,NA,NA,NA,NA
291080,581908,35389.53,35389.53,17596.87
291085,12141,628.18,628.18,474.21
291125,3380,118.44,118.44,102.56
291130,3778,167.05,75.87,131.02
291140,11679,514.81,514.81,492.88
291165,3289,137.27,137.27,92.06
291170,85797,4401.56,4401.56,3434.61
291185,8173,0,0,233.29
291190,26056,1101.92,1101.92,799.62
291200,7669,327.99,327.99,259.08
291220,4572,171.31,171.31,165.99
291240,13725,683.46,683.46,508.2
291250,8256,308.76,308.76,221.32
291260,3358,137.02,137.02,84.84
291300,3638,107.4,0,102.75
291310,18455,931.9,931.9,587.63
291320,24471,1113.66,1113.66,790.94
291330,5001,216.84,216.84,120.76
291340,NA,NA,NA,NA
291350,15614,655.06,655.06,512.97
291370,23007,856.76,0,766.19
291380,8775,433.59,433.59,248.44
291400,45194,2012.9,2000.11,1463.82
291410,7688,305.8,0,290.13
291420,4283,0,0,160.95
291430,7724,369.52,369.52,276.87
291440,8172,348.72,0,242.59
