municipio,tratado
251040,NA
251050,NA
251060,0
251065,NA
251070,NA
251080,575.21
251090,NA
251100,11
251110,50
251130,NA
251140,NA
251200,NA
251203,NA
251207,0
251210,0
251220,NA
251230,NA
251240,NA
251250,35.87
251260,0
251270,NA
251274,NA
251275,NA
251278,NA
251280,1
251300,18
251310,NA
251315,NA
251320,NA
251330,0
251335,0
251340,500
251350,NA
251360,NA
251365,NA
251380,NA
251385,NA
251390,450
251392,NA
251394,105
251396,NA
251398,NA
251400,NA
251410,NA
251420,NA
251430,NA
251440,NA
251450,NA
251455,NA
251460,NA
251465,42.78
251470,0
251480,NA
251490,38.4
251510,NA
251520,119
251540,NA
251550,NA
251570,NA
251600,NA
251610,NA
251615,NA
251620,0
251630,271.83
251640,NA
251650,NA
251660,1
251670,NA
251675,0
251680,NA
251690,NA
251700,0
251710,57
251720,NA
251740,NA
260010,NA
260020,NA
260030,NA
260050,NA
260060,NA
260080,NA
260100,NA
260110,480
260120,82.49
260160,NA
260170,0
260180,0
260190,NA
260200,240
260210,NA
260220,NA
260240,NA
260250,NA
260260,0
260280,NA
260300,0
260310,NA
260320,NA
260330,NA
260340,NA
260350,NA
260370,NA
260380,NA
260390,NA
260392,138
260410,5027.29
260415,NA
260430,0
260450,NA
260470,NA
260490,NA
260500,NA
260510,NA
260515,119.58
260530,NA
260560,NA
260570,NA
260580,NA
260600,377.1
260630,565
260640,55.9
260650,NA
260660,NA
260670,NA
260690,0
260700,0
260710,NA
260730,87.7
260740,NA
260750,NA
260770,NA
260800,NA
260805,NA
260810,NA
260825,NA
260830,NA
260840,NA
260860,NA
260870,NA
260875,356.35
260880,NA
260915,NA
260930,NA
260970,NA
260980,NA
260990,NA
261010,NA
261020,0
261030,NA
261040,NA
261050,NA
261080,NA
261090,NA
261100,NA
261110,7042.36
261120,NA
261153,NA
261170,NA
261200,NA
261210,NA
261220,583.61
261230,NA
261240,NA
261245,NA
261247,NA
261250,NA
261255,0
261260,NA
261270,NA
261280,NA
261300,NA
261310,NA
261320,NA
261330,NA
261350,0
261360,0
261390,0
261400,NA
261410,NA
261430,NA
261440,NA
261450,NA
261460,NA
261470,NA
261480,NA
261500,0
261510,NA
261520,NA
261540,NA
261560,NA
261570,NA
261580,0
261590,NA
261600,NA
261610,NA
261618,NA
261620,NA
270010,NA
270030,0
270070,82.41
270090,NA
270120,NA
270160,NA
270180,NA
270200,NA
270235,NA
270240,3200
270250,NA
270255,NA
270290,NA
270310,NA
270330,NA
270340,NA
270370,NA
270410,NA
270440,NA
270460,NA
270500,NA
270530,NA
270540,NA
270570,NA
270580,NA
270600,NA
270610,NA
270620,NA
270630,213.16
270640,0
270642,NA
270710,0
270720,NA
270760,134.65
270800,36.47
270840,NA
270895,NA
270920,NA
280010,NA
280020,NA
280110,NA
280120,NA
280140,NA
280160,NA
280190,NA
280220,NA
280230,NA
280240,NA
280260,NA
280310,NA
280370,93
280420,NA
280445,0
